Fuel_consumption,Throttle_position_signal,Intake_air_pressure,Engine_speed,Flywheel_torque_(after_torque_interventions),Calculated_LOAD_value,Torque_converter_speed,Torque_converter_turbine_speed_-_Unfiltered,Steering_wheel_angle,Transmission_oil_temperature
2816,83.6,97,2388,99.9,94.1,2387.3,2388,8,97
2688,53.1,96,2416,100.3,91.4,2415.3,2416,10.9,97
2790.4,65.3,97,2445,101.4,93.3,2444.8,2445.5,8.7,97
2918.4,76.5,95,2482,85.8,91,2481,2481.8,8.8,97
972.8,8,35,2299,-2.1,26.7,2318.3,2313,9.5,97
396.8,6.1,27,1689,-23.3,18.8,1902.8,1903,9.3,97
243.2,5.2,25,1204,-10,17.3,1868.8,1868.8,9.1,97
294.4,5.7,29,1270,-14,20.8,1831,1831.3,8.8,97
268.8,5.2,29,1201,-13.9,20,1800.8,1801,-0.8,97
345.6,6.6,34,1317,-0.7,25.1,1773,1773.5,-0.8,97
345.6,5.2,27,1474,-7.5,18.8,1740,1740,5.7,97
294.4,6.1,30,1236,-10.2,21.2,1691.3,1691.5,-2.2,97
294.4,6.6,34,1157,15.1,24.3,1664.3,1664.5,-1.5,97
1408,23,79,1878,91.6,67.1,1658.8,1659.3,1.2,97
2662.4,90.2,98,2347,98.1,93.7,2068,2073.8,1,97
3059.2,100,98,2511,101.4,96.1,2232.5,2233.8,0.9,97
3123.2,100,98,2575,107.7,96.1,2297.8,2298.8,1.6,97
3264,100,98,2632,108.8,96.5,2362.3,2363.3,0.6,97
3302.4,100,98,2686,107.4,96.9,2427,2428.3,0.5,97
3328,100,98,2732,105.8,96.5,2489.5,2490.5,0.8,97
3532.8,100,98,2786,108.3,96.1,2548.5,2549.5,0.5,97
4185.6,100,97,3177,128.3,95.3,2962.5,2974,0.6,98
6336,100,97,3967,137.6,94.9,3768,3770.5,0.8,98
6604.8,100,97,4083,136.9,95.3,3942.5,3944.8,0.8,98
5644.8,100,97,3596,115.3,93.3,3444.3,3434.3,1.2,98
4044.8,100,98,3104,109.8,94.5,3000.5,3001.5,0.8,98
3648,100,98,3071,109.7,94.5,3054.3,3055,0.6,98
3699.2,100,98,3112,112.3,94.1,3105.8,3107,0.5,98
3558.4,64.8,92,3160,92.8,84.7,3155.8,3156.8,0.6,98
2688,28.2,88,2710,93.3,80,2652.8,2646.3,0.9,98
2739.2,41.8,95,2499,101.9,90.2,2490.5,2491.3,1,98
3008,48.8,97,2515,102.9,92.9,2512.5,2513.3,1.9,98
3033.6,51.7,97,2538,102.3,92.5,2534.8,2535.8,1.3,98
2995.2,40.9,94,2559,94.8,89.8,2556.5,2557.3,0,98
1497.6,12.7,55,2560,3.3,41.6,2560.8,2561.3,0.9,98
576,8,27,2534,-16.8,19.6,2537.5,2537.5,1.6,98
358.4,7.5,22,2477,-34.2,16.1,2503.3,2503.3,1.6,98
0,10.4,35,2453,-33.1,25.9,2463.3,2463.3,1.6,98
0,10.4,39,2408,-33,27.8,2424.8,2425,0.9,98
25.6,9.4,38,2373,-7.4,27.5,2388.3,2388.5,0.9,98
550.4,7.1,24,2356,-5.4,16.9,2357.8,2357.8,1.2,98
537.6,7.5,25,2333,-1.7,17.3,2332.3,2332.5,1.9,98
755.2,10.4,33,2313,33,25.1,2311.8,2312.3,1.9,98
1356.8,16,65,2307,69.1,50.2,2305,2305.5,1.5,98
1740.8,18.3,74,2316,71.9,60.4,2314.8,2315.5,0.8,98
1753.6,18.8,74,2329,70.6,60.8,2328,2328.8,1.2,98
1728,18.8,74,2343,71.9,61.6,2341.5,2342,1,98
1702.4,17.4,71,2354,62.6,58.4,2353.3,2354,1.2,98
1651.2,17.9,71,2363,69.3,56.9,2362.5,2363,1.2,98
1779.2,18.8,74,2375,72.3,60.8,2374,2374.5,0.8,98
1779.2,19.3,75,2388,72.2,61.6,2386.5,2387,0.9,98
1766.4,19.3,75,2400,74.8,61.6,2398.8,2399.5,1.2,98
1894.4,20.7,79,2416,80.4,65.9,2413.3,2413.8,1.5,98
1932.8,21.1,80,2431,80.4,67.5,2429,2429.8,1.2,98
1958.4,21.1,80,2448,78.3,68.2,2445.5,2446.3,0.9,98
1638.4,16.9,67,2457,52.2,54.9,2456.3,2457,1.3,98
1331.2,14.1,59,2457,26,43.5,2456.5,2457,1.3,98
908.8,11.3,46,2445,16.9,30.6,2445,2445.3,1.2,98
793.6,9.9,36,2428,10.3,26.7,2427.8,2428,1.6,98
755.2,9.4,34,2409,10.4,26.3,2408.8,2409,1.2,98
652.8,9.4,32,2389,19.8,23.5,2388.8,2389,1.2,99
1011.2,12.7,50,2376,32.2,36.9,2375,2375.5,1.6,99
921.6,10.8,49,2365,14.6,32.5,2364.8,2365,1.2,99
588.8,7.5,28,2335,-26.4,20.8,2343.5,2343.8,0.8,99
230.4,8,24,2292,-34.5,16.5,2312,2312.3,0.8,99
0,9.9,37,2262,-33.9,27.5,2276,2276.3,1.9,99
0,9.9,38,2224,-33.8,27.8,2241,2241.3,3,99
0,9.4,37,2191,-34.6,26.7,2206.3,2206.3,3.3,99
0,9.4,37,2152,-35.2,25.9,2168.8,2168.8,4.5,99
0,9.4,36,2107,-35.5,25.9,2128,2128.3,4.4,99
0,9.4,36,2070,-35.4,25.9,2086.8,2086.8,3.4,99
0,8.9,35,2036,-34.7,25.5,2051.5,2051.8,4.4,99
294.4,7.5,32,2015,0.4,21.6,2023.8,2024,4.5,99
563.2,8,30,2007,6.4,20.8,2006,2006.5,4.3,99
934.4,12.2,49,1999,55,36.5,1996.8,1997.3,5.2,99
1497.6,16,73,2007,65.3,55.7,2005.5,2006,4.8,99
1561.6,16.9,75,2023,68.4,60,2022.3,2022.8,2.3,98
1190.4,13.2,63,2034,48.1,46.7,2033.8,2034.5,4.4,98
1369.6,16,73,2047,58.4,56.9,2046.3,2046.8,4.8,98
832,8.9,45,2052,5.6,31,2053,2053.3,5.9,98
627.2,8.9,35,2047,11.2,25.1,2046.3,2047,3.8,98
678.4,8.5,38,2044,-9.2,26.3,2044,2044.5,4.1,98
870.4,12.2,47,2092,50.4,36.1,2046.5,2047.3,4.8,98
1254.4,14.6,68,2098,53.9,51.4,2062,2062.8,4.3,98
857.6,8.9,47,2075,4.5,32.5,2073.8,2074.3,4.1,98
537.6,7.1,30,2068,-23.5,20.8,2076.5,2077,4.5,98
345.6,6.1,21,2049,-8.9,12.9,2068.3,2068.8,3,98
665.6,10.4,37,2073,31.6,26.3,2068.8,2069.3,3.5,98
1139.2,13.6,62,2088,48.3,45.5,2084,2084.5,4.8,98
921.6,9.4,50,2103,-15.4,34.9,2103.5,2104,4.9,98
371.2,6.1,22,2072,-34,13.7,2102,2102.3,4.8,98
12.8,8.9,33,2079,-34.8,23.1,2091.3,2091.8,3.7,98
0,9.4,37,2067,-34.8,25.9,2084.5,2085,4,98
0,9.4,37,2053,-35,25.9,2073.5,2073.8,3.7,98
0,9.4,36,2050,-35,25.9,2065.3,2065.5,4.8,98
0,9.4,41,2041,-34.8,27.5,2057.3,2057.5,2.7,98
0,9.4,41,2028,-34.8,27.5,2049.5,2049.8,1.5,98
0,9.4,35,2023,-35,25.5,2041.8,2042.3,0.5,98
0,9.4,35,2010,-36.2,25.5,2029.5,2030,1.2,98
0,8.9,35,1985,-36.6,25.1,2008,2008.3,1.9,98
0,8.9,35,1967,-36.8,24.7,1984,1984.5,1.5,98
0,8.9,34,1947,-36.4,24.7,1965.8,1966,0.9,98
179.2,8.5,32,1943,2.2,23.1,1957,1957.8,1.9,98
678.4,9.4,36,1966,12.6,25.9,1964.5,1965.3,3.4,98
1356.8,15.5,67,2003,65,51,1986,1986.8,1.4,98
1331.2,13.2,64,2020,47,47.1,2018.8,2019.5,1.7,98
1113.6,11.8,59,2045,27.4,41.2,2044.8,2045.3,1.9,98
1100.8,13.6,64,2069,52.9,45.5,2067.5,2068.5,0.1,98
1164.8,11.8,60,2096,-0.3,43.9,2095.5,2096.3,1.2,98
422.4,6.1,24,2078,-33.5,15.3,2102.8,2103.3,2.1,98
128,8.5,29,2084,-36,19.2,2095.3,2095.8,1.2,98
0,9.4,37,2070,-35.9,25.9,2085.3,2085.8,-0.7,98
0,9.4,36,2056,-35.9,25.5,2076.8,2077,3.6,98
0,8.9,36,2049,-7.8,25.5,2066.5,2066.8,1.2,98
563.2,8,30,2069,8.8,21.2,2067.5,2068.3,1.9,98
1011.2,11.3,49,2083,14.9,35.7,2079.8,2080.5,0.9,98
665.6,8,34,2093,2,23.1,2092.3,2092.8,0.9,98
934.4,12.2,46,2106,38,34.1,2104.3,2104.8,0.7,98
1164.8,13.6,63,2127,42.1,45.5,2125.8,2126.5,1.6,98
1203.2,13.6,63,2154,38.8,45.9,2152.8,2153.5,1.7,98
1113.6,12.7,59,2177,33.8,42,2176.5,2177.3,1.6,98
832,9.4,44,2193,-4.8,29.8,2193.5,2194,1,98
409.6,6.6,23,2176,-33,14.5,2194.8,2195.3,0.9,98
179.2,8.5,27,2173,-36.2,17.6,2184,2184.3,0.9,98
115.2,8.9,38,2164,-6,25.9,2174.8,2175,0.9,98
588.8,7.5,28,2174,-2.1,18.8,2173.8,2174.8,0.9,98
614.4,8.5,29,2180,-1,19.2,2179,2179.3,1.6,98
627.2,8.5,30,2184,-1.3,20,2183.3,2183.8,1.2,98
614.4,8.5,30,2187,-13.5,20,2187.5,2188,2,98
448,6.6,23,2167,-34.9,14.1,2184.5,2185,1,98
358.4,7.5,26,2175,-4.2,16.5,2177.5,2178,0.7,98
473.6,7.1,26,2168,-18.1,16.5,2176.8,2177.3,0.9,98
384,6.6,22,2137,-36,13.3,2172.8,2173,1.6,98
89.6,8.9,32,2152,-37.2,21.6,2162.3,2162.8,1.2,98
0,9.9,42,2140,-36.9,28.2,2152.3,2152.8,2.3,98
0,9.9,43,2125,-36.9,28.6,2142.5,2142.8,0.8,98
0,9.4,38,2108,-37.2,27.1,2133,2133.5,-1.6,98
0,9.4,38,2101,-37.2,26.7,2119.3,2119.5,-2.6,98
307.2,8.5,33,2099,0.4,23.1,2105.5,2106,-5,98
742.4,9.9,37,2104,11.1,26.3,2102.3,2102.8,-3.3,98
857.6,10.8,44,2096,26.9,31,2095.3,2095.8,-5.5,98
1331.2,15,67,2100,57.5,48.2,2097.8,2098.5,-4.5,98
972.8,9.4,47,2097,6.7,32.5,2096,2096.3,-10,98
793.6,11.3,43,2104,20.9,30.6,2077.3,2077.5,-4.1,98
896,11.8,54,2067,28.5,36.1,2059.5,2059.8,-4.4,98
972.8,12.2,60,2046,36.3,40.8,2045.3,2045.5,-6.2,98
1062.4,13.2,63,2034,37.2,43.9,2033.5,2033.8,-5.5,98
1062.4,13.2,63,2025,37.4,44.3,2023.8,2024.3,-4.8,98
1062.4,13.2,64,2014,38.3,44.7,2013.3,2013.8,-6,98
1152,13.6,66,2006,44.9,47.5,2004.3,2004.8,-7.3,98
1190.4,14.1,67,2000,45.2,48.6,1998.3,1998.5,-6.6,98
1241.6,14.1,67,1995,50.5,49.4,1993,1993.5,-5.9,98
1510.4,18.3,77,2002,89.2,60.8,1991.5,1992,-4.8,98
2252.8,80.3,98,2015,96.7,90.6,2006.5,2007,-6.3,98
2316.8,100,99,2029,95.6,92.2,2027,2027.5,-8,98
2316.8,100,99,2049,95.3,91.4,2047.3,2048,-3.4,98
2368,90.2,98,2070,93.8,91.4,2067.8,2068.5,-4.4,98
2073.6,24,86,2083,58.8,75.7,2082.5,2083,-4.1,98
768,7.5,41,2064,-21.6,27.8,2069.3,2069.5,3.2,98
332.8,6.1,22,2009,-38.4,13.7,2032.5,2032.5,1.1,98
0,8.9,33,1976,-37.6,23.9,1988.8,1989,0,98
0,8.5,34,1932,-37.5,24.7,1946.5,1946.8,1.2,98
0,8,33,1878,-37.9,24.3,1899.3,1899.3,0.9,98
0,7.5,32,1804,-38.4,23.5,1831.5,1831.3,1.1,98
0,7.5,32,1760,-38.2,23.1,1779.3,1779.5,0.9,98
0,7.1,33,1716,-9,23.9,1740.5,1740.5,0.9,98
704,10.4,42,1748,37.8,33.3,1716.3,1716.5,0.4,98
1126.4,12.2,60,1744,35.2,48.6,1710.5,1711,-3.2,98
601.6,7.1,34,1694,6.3,25.5,1698.8,1699.3,-6.6,98
1088,14.1,62,1774,62.7,51,1688.3,1688.8,-7.7,98
1446.4,18.3,82,1738,74.4,71.4,1694,1694.5,-11.6,98
1638.4,28.2,93,1714,90.2,84.7,1705.8,1706.5,-7.5,98
2176,90.6,99,1957,89.3,91.8,1737.5,1740,-9.5,98
3008,100,98,2500,96.1,93.7,2242,2246,-5.2,98
3225.6,100,98,2566,98.2,94.5,2320.5,2321.8,-1.6,98
3046.4,70,96,2471,85.2,91.4,2374,2374.8,1.5,98
1945.6,18.8,77,2286,66.6,64.7,2167.8,2163,0.8,98
1190.4,12.7,63,1966,33.6,48.2,1871.3,1871.8,5.7,98
1190.4,14.6,69,1928,60,52.9,1873.8,1874.5,7.3,98
1408,16.5,75,1904,71.2,62.4,1888.3,1888.8,11.6,98
1420.8,15.5,73,1908,48.6,61.6,1904.3,1904.8,11.6,98
691.2,8,39,1904,13.5,28.6,1902,1902.5,13.8,98
576,7.5,35,1879,1.4,24.7,1887.8,1888,11.3,98
